doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
0,12.05.26 18:42,Bulgakov never misses. this one got under my skin a little.,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%201%20real.jpeg,,312,4,27,olivia.booktok,olivia.booktok,📚 books are my whole personality · sharing what I read,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%202%20real.jpeg,8420,27,0,,A,1
1,14.05.26 20:15,finally finished The Zahir and I have thoughts 🧡,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%202%20real.jpeg,,287,3,19,olivia.booktok,olivia.booktok,📚 books are my whole personality · sharing what I read,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%202%20real.jpeg,8420,19,0,,A,2
2,16.05.26 17:30,rereading Momo because time keeps slipping away anyway,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%203%20real.jpeg,,401,7,34,olivia.booktok,olivia.booktok,📚 books are my whole personality · sharing what I read,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%202%20real.jpeg,8420,34,0,,A,3
3,19.05.26 19:05,Le Guin builds worlds I never want to leave.,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%204%20real.jpeg,,356,5,22,olivia.booktok,olivia.booktok,📚 books are my whole personality · sharing what I read,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%202%20real.jpeg,8420,22,0,,A,4
4,22.05.26 21:20,"found this old hardcover at a flea market, look how pretty 🌙",https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%205%20real.jpeg,,298,3,16,olivia.booktok,olivia.booktok,📚 books are my whole personality · sharing what I read,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%202%20real.jpeg,8420,16,0,,A,5
5,25.05.26 16:48,"cozy Sarah Lark afternoon, no notes.",https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%206%20real.jpeg,,264,2,13,olivia.booktok,olivia.booktok,📚 books are my whole personality · sharing what I read,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20human/book%202%20real.jpeg,8420,13,0,,A,6
6,12.05.26 18:42,Bulgakov never misses. this one got under my skin a little.,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%201%20ai.png,,312,4,27,olivia.booktok.ai,olivia.booktok.ai,📚 books are my whole personality · sharing what I read · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%202%20ai.png,8420,27,0,,B,1
7,14.05.26 20:15,finally finished The Zahir and I have thoughts 🧡,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%202%20ai.png,,287,3,19,olivia.booktok.ai,olivia.booktok.ai,📚 books are my whole personality · sharing what I read · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%202%20ai.png,8420,19,0,,B,2
8,16.05.26 17:30,rereading Momo because time keeps slipping away anyway,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%203%20ai.png,,401,7,34,olivia.booktok.ai,olivia.booktok.ai,📚 books are my whole personality · sharing what I read · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%202%20ai.png,8420,34,0,,B,3
9,19.05.26 19:05,Le Guin builds worlds I never want to leave.,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%204%20ai.png,,356,5,22,olivia.booktok.ai,olivia.booktok.ai,📚 books are my whole personality · sharing what I read · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%202%20ai.png,8420,22,0,,B,4
10,22.05.26 21:20,"found this old hardcover at a flea market, look how pretty 🌙",https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%205%20ai.png,,298,3,16,olivia.booktok.ai,olivia.booktok.ai,📚 books are my whole personality · sharing what I read · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%202%20ai.png,8420,16,0,,B,5
11,25.05.26 16:48,"cozy Sarah Lark afternoon, no notes.",https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%206%20ai.png,,264,2,13,olivia.booktok.ai,olivia.booktok.ai,📚 books are my whole personality · sharing what I read · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/low%20tv%20%26%20ai/book%202%20ai.png,8420,13,0,,B,6
12,12.05.26 18:42,"quick ping pong break, I'm worse than I remember 🏓",https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/1%20real.jpeg,,312,4,27,olivia.life,olivia.life,✨ books · sport · art · little bits of my everyday life,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/2%20real.jpeg,8420,27,0,,C,1
13,14.05.26 20:15,finally finished The Zahir and I have thoughts 🧡,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/2%20real.jpeg,,287,3,19,olivia.life,olivia.life,✨ books · sport · art · little bits of my everyday life,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/2%20real.jpeg,8420,19,0,,C,2
14,16.05.26 17:30,"starting my mornings with these now, tiny habit big difference",https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/3%20real.jpeg,,401,7,34,olivia.life,olivia.life,✨ books · sport · art · little bits of my everyday life,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/2%20real.jpeg,8420,34,0,,C,3
15,19.05.26 19:05,"playing with a little blush today, soft glam kind of mood 💗",https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/4%20real.jpeg,,356,5,22,olivia.life,olivia.life,✨ books · sport · art · little bits of my everyday life,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/2%20real.jpeg,8420,22,0,,C,4
16,22.05.26 21:20,"painted some blue bottles this weekend, kinda proud of this one",https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/5%20real.jpeg,,298,3,16,olivia.life,olivia.life,✨ books · sport · art · little bits of my everyday life,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/2%20real.jpeg,8420,16,0,,C,5
17,25.05.26 16:48,"planning my next grid on the tablet, design mode on ✏️",https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/6%20real.jpeg,,264,2,13,olivia.life,olivia.life,✨ books · sport · art · little bits of my everyday life,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20human/2%20real.jpeg,8420,13,0,,C,6
18,12.05.26 18:42,"quick ping pong break, I'm worse than I remember 🏓",https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/1%20ai.png,,312,4,27,olivia.life.ai,olivia.life.ai,✨ books · sport · art · little bits of my everyday life · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/2%20ai.png,8420,27,0,,D,1
19,14.05.26 20:15,finally finished The Zahir and I have thoughts 🧡,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/2%20ai.png,,287,3,19,olivia.life.ai,olivia.life.ai,✨ books · sport · art · little bits of my everyday life · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/2%20ai.png,8420,19,0,,D,2
20,16.05.26 17:30,"starting my mornings with these now, tiny habit big difference",https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/3%20ai.png,,401,7,34,olivia.life.ai,olivia.life.ai,✨ books · sport · art · little bits of my everyday life · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/2%20ai.png,8420,34,0,,D,3
21,19.05.26 19:05,"playing with a little blush today, soft glam kind of mood 💗",https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/4%20ai.png,,356,5,22,olivia.life.ai,olivia.life.ai,✨ books · sport · art · little bits of my everyday life · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/2%20ai.png,8420,22,0,,D,4
22,22.05.26 21:20,"painted some blue bottles this weekend, kinda proud of this one",https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/5%20ai.png,,298,3,16,olivia.life.ai,olivia.life.ai,✨ books · sport · art · little bits of my everyday life · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/2%20ai.png,8420,16,0,,D,5
23,25.05.26 16:48,"planning my next grid on the tablet, design mode on ✏️",https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/6%20ai.png,,264,2,13,olivia.life.ai,olivia.life.ai,✨ books · sport · art · little bits of my everyday life · I am a virtual influencer 🤖,https://raw.githubusercontent.com/hnurtutuk/dice/main/high%20tv%20%26%20ai/2%20ai.png,8420,13,0,,D,6
